# Captured 2020-06-21 11:16:28.481737 by unknown user
# Built at revision 7b9a516 (dirty)
time(sec)  pc_setpoint  pressure  pa_fast_avg  pa_slow_avg
2.600  30.000  20.753  0.000  0.000
2.610  30.000  21.795  0.000  0.000
2.620  30.000  21.842  0.000  0.000
2.630  30.000  22.108  0.000  0.000
2.640  30.000  22.708  0.000  0.000
2.650  30.000  22.535  0.000  0.000
2.660  30.000  22.833  0.000  0.000
2.670  30.000  23.533  0.000  0.000
2.680  30.000  23.483  0.000  0.000
2.690  30.000  24.009  0.000  0.000
2.700  30.000  24.414  0.000  0.000
2.710  30.000  24.622  0.000  0.000
2.720  30.000  25.079  0.000  0.000
2.730  30.000  24.958  0.000  0.000
2.740  30.000  25.679  0.000  0.000
2.750  30.000  25.981  0.000  0.000
2.760  30.000  26.012  0.000  0.000
2.770  30.000  26.765  0.000  0.000
2.780  30.000  27.216  0.000  0.000
2.790  30.000  26.828  0.000  0.000
2.800  30.000  27.421  0.000  0.000
2.810  30.000  28.077  0.000  0.000
2.820  30.000  28.239  0.000  0.000
2.830  30.000  28.638  0.000  0.000
2.840  30.000  29.040  0.000  0.000
2.850  30.000  28.680  0.000  0.000
2.860  30.000  29.425  0.000  0.000
2.870  30.000  30.014  0.000  0.000
2.880  30.000  29.697  0.000  0.000
2.890  30.000  30.576  0.000  0.000
2.900  30.000  30.261  0.000  0.000
2.910  30.000  30.494  0.000  0.000
2.920  30.000  30.842  0.000  0.000
2.930  30.000  30.891  0.000  0.000
2.940  30.000  31.351  0.000  0.000
2.950  30.000  31.026  0.000  0.000
2.960  30.000  31.618  0.000  0.000
2.970  30.000  29.791  0.000  0.000
2.980  30.000  31.000  0.000  0.000
2.990  30.000  30.267  0.000  0.000
3.000  30.000  30.553  0.000  0.000
3.010  30.000  29.947  0.000  0.000
3.020  30.000  30.559  0.000  0.000
3.030  30.000  30.761  0.000  0.000
3.040  30.000  30.217  0.000  0.000
3.050  30.000  30.905  0.000  0.000
3.060  30.000  31.027  0.000  0.000
3.070  30.000  31.286  0.000  0.000
3.080  30.000  31.665  0.000  0.000
3.090  30.000  30.877  0.000  0.000
3.100  30.000  31.087  0.000  0.000
3.110  30.000  30.655  0.000  0.000
3.120  30.000  30.796  0.000  0.000
3.130  30.000  30.236  0.000  0.000
3.140  30.000  30.606  0.000  0.000
3.150  30.000  30.350  0.000  0.000
3.160  30.000  30.776  0.000  0.000
3.170  30.000  30.361  0.000  0.000
3.180  30.000  30.926  0.000  0.000
3.190  30.000  30.335  0.000  0.000
3.200  30.000  30.957  0.000  0.000
3.210  30.000  30.094  0.000  0.000
3.220  30.000  30.361  0.000  0.000
3.230  30.000  30.658  0.000  0.000
3.240  30.000  30.945  0.000  0.000
3.250  30.000  30.489  0.000  0.000
3.260  30.000  29.912  0.000  0.000
3.270  30.000  30.137  0.000  0.000
3.280  30.000  30.330  0.000  0.000
3.290  30.000  30.497  0.000  0.000
3.300  30.000  30.205  0.000  0.000
3.310  30.000  30.328  0.000  0.000
3.320  30.000  30.254  0.000  0.000
3.330  30.000  30.362  0.000  0.000
3.340  30.000  29.948  0.000  0.000
3.350  30.000  30.466  0.000  0.000
3.360  30.000  30.010  0.000  0.000
3.370  5.000  30.008  70.959  70.959
3.380  5.000  29.405  70.959  70.959
3.390  5.000  23.640  70.959  70.959
3.400  5.000  18.898  70.959  70.959
3.410  5.000  18.105  70.959  70.959
3.420  5.000  17.556  70.959  70.959
3.430  5.000  17.010  70.959  70.959
3.440  5.000  16.601  70.959  70.959
3.450  5.000  16.242  70.959  70.959
3.460  5.000  16.017  70.959  70.959
3.470  5.000  15.786  70.959  70.959
3.480  5.000  15.413  70.959  70.959
3.490  5.000  15.251  70.959  70.959
3.500  5.000  14.932  70.959  70.959
3.510  5.000  14.690  70.959  70.959
3.520  5.000  14.345  70.959  70.959
3.530  5.000  14.206  70.959  70.959
3.540  5.000  14.010  70.959  70.959
3.550  5.000  13.582  70.959  70.959
3.560  5.000  13.280  70.959  70.959
3.570  5.000  12.988  70.959  70.959
3.580  5.000  12.868  70.959  70.959
3.590  5.000  12.702  70.959  70.959
3.600  5.000  12.511  70.959  70.959
3.610  5.000  12.248  70.959  70.959
3.620  5.000  12.102  70.959  70.959
3.630  5.000  11.804  70.959  70.959
3.640  5.000  11.493  70.959  70.959
3.650  5.000  11.244  70.959  70.959
3.660  5.000  11.170  70.959  70.959
3.670  5.000  11.079  70.959  70.959
3.680  5.000  10.938  70.959  70.959
3.690  5.000  10.760  70.959  70.959
3.700  5.000  10.618  70.959  70.959
3.710  5.000  10.389  70.959  70.959
3.720  5.000  10.327  70.959  70.959
3.730  5.000  10.133  70.959  70.959
3.740  5.000  9.988  70.959  70.959
3.750  5.000  9.771  70.959  70.959
3.760  5.000  9.580  70.959  70.959
3.770  5.000  9.373  70.959  70.959
3.780  5.000  9.198  70.959  70.959
3.790  5.000  9.038  70.959  70.959
3.800  5.000  8.895  70.959  70.959
3.810  5.000  8.732  70.959  70.959
3.820  5.000  8.474  70.959  70.959
3.830  5.000  8.378  70.959  70.959
3.840  5.000  8.289  70.959  70.959
3.850  5.000  8.185  70.959  70.959
3.860  5.000  8.001  70.959  70.959
3.870  5.000  7.815  70.959  70.959
3.880  5.000  7.690  70.959  70.959
3.890  5.000  7.529  70.959  70.959
3.900  5.000  7.376  70.959  70.959
3.910  5.000  7.276  70.959  70.959
3.920  5.000  7.090  70.959  70.959
3.930  5.000  6.973  70.959  70.959
3.940  5.000  6.736  70.959  70.959
3.950  5.000  6.726  70.959  70.959
3.960  5.000  6.625  70.959  70.959
3.970  5.000  6.499  70.959  70.959
3.980  5.000  6.332  70.959  70.959
3.990  5.000  6.211  70.959  70.959
4.000  5.000  6.054  70.959  70.959
4.010  5.000  5.907  70.959  70.959
4.020  5.000  5.742  70.959  70.959
4.030  5.000  5.624  70.959  70.959
4.040  5.000  5.501  70.959  70.959
4.050  5.000  5.412  70.959  70.959
4.060  5.000  5.275  70.959  70.959
4.070  5.000  5.145  70.959  70.959
4.080  5.000  4.974  70.959  70.959
4.090  5.000  4.878  70.959  70.959
4.100  5.000  4.750  70.959  70.959
4.110  5.000  4.682  70.959  70.959
4.120  5.000  4.569  70.959  70.959
4.130  5.000  4.450  70.959  70.959
4.140  5.000  4.289  70.959  70.959
4.150  5.000  4.327  70.959  70.959
4.160  5.000  4.266  70.959  70.959
4.170  5.000  4.239  70.959  70.959
4.180  5.000  4.140  70.959  70.959
4.190  5.000  4.156  70.959  70.959
4.200  5.000  4.130  70.959  70.959
4.210  5.000  4.055  70.959  70.959
4.220  5.000  3.956  70.959  70.959
4.230  5.000  4.666  70.959  70.959
4.240  5.000  4.650  70.959  70.959
4.250  5.000  3.992  70.959  70.959
4.260  5.000  4.017  70.959  70.959
4.270  5.000  3.518  70.959  70.959
4.280  5.000  4.399  70.959  70.959
4.290  5.000  4.614  70.959  70.959
4.300  5.000  4.940  70.959  70.959
4.310  5.000  4.884  70.959  70.959
4.320  5.000  4.894  70.959  70.959
4.330  5.000  4.863  70.959  70.959
4.340  5.000  4.890  70.959  70.959
4.350  5.000  4.918  70.959  70.959
4.360  5.000  4.974  70.959  70.959
4.370  5.000  4.896  70.959  70.959
4.380  5.000  4.888  70.959  70.959
4.390  5.000  4.907  70.959  70.959
4.400  5.000  4.922  57.684  70.295
4.410  5.000  4.943  49.327  69.751
4.420  5.000  4.987  41.190  69.140
4.430  5.000  5.112  33.827  68.492
4.440  5.000  5.008  30.693  67.989
4.450  5.000  4.963  28.460  67.504
4.460  5.000  4.970  29.258  67.154
4.470  5.000  5.155  27.587  66.691
4.480  5.000  5.057  29.899  66.416
4.490  5.000  5.137  31.055  66.108
4.500  5.000  5.106  31.525  65.781
4.510  5.000  5.032  33.631  65.544
4.520  5.000  5.115  32.943  65.191
4.530  5.000  5.191  31.641  64.803
4.540  5.000  5.069  31.338  64.456
4.550  5.000  5.194  26.233  63.870
4.560  5.000  5.095  25.648  63.464
4.570  5.000  5.249  21.680  62.888
4.580  5.000  5.160  21.425  62.463
4.590  5.000  5.204  21.015  62.032
4.600  5.000  5.206  20.181  61.580
4.610  5.000  5.170  18.807  61.097
4.620  5.000  5.141  18.739  60.671
4.630  5.000  5.190  16.104  60.120
4.640  5.000  5.175  13.871  59.568
4.650  5.000  5.193  13.871  59.568
4.660  5.000  5.177  13.871  59.568
4.670  5.000  5.150  13.871  59.568
4.680  5.000  5.114  13.871  59.568
4.690  5.000  5.133  13.871  59.568
4.700  5.000  5.146  13.871  59.568
4.710  5.000  5.128  13.871  59.568
4.720  5.000  5.080  13.871  59.568
4.730  5.000  5.112  13.871  59.568
4.740  5.000  5.048  13.871  59.568
4.750  5.000  4.981  13.871  59.568
4.760  5.000  5.038  13.871  59.568
4.770  5.000  4.981  13.871  59.568
4.780  5.000  5.022  13.871  59.568
4.790  5.000  4.992  13.871  59.568
4.800  5.000  4.935  13.871  59.568
4.810  5.000  4.892  13.871  59.568
4.820  5.000  4.983  13.871  59.568
4.830  5.000  4.877  13.871  59.568
4.840  5.000  4.868  13.871  59.568
4.850  5.000  4.830  13.871  59.568
4.860  5.000  4.881  13.871  59.568
4.870  5.000  4.847  13.871  59.568
4.880  5.000  4.804  13.871  59.568
4.890  5.000  4.771  13.871  59.568
4.900  5.000  4.913  13.871  59.568
4.910  5.000  4.901  13.871  59.568
4.920  5.000  5.005  13.871  59.568
4.930  5.000  4.820  11.399  58.988
4.940  5.000  4.857  9.663  58.425
4.950  5.000  4.891  8.950  57.902
4.960  5.000  4.925  11.256  57.527
4.970  5.000  4.943  12.282  57.116
4.980  5.000  4.971  13.461  56.727
4.990  5.000  4.973  17.249  56.483
5.000  5.000  5.054  18.610  56.159
5.010  5.000  4.975  20.719  55.889
5.020  5.000  5.016  23.085  55.656
