# covent_pc_3
# Captured 2020-07-03 03:10:53.974487 by unknown user
# Built at revision a9175b3 (dirty)
time(sec) pc_setpoint pressure dp_inhale dp_exhale cmd_inh_valve cmd_exh_valve cmd_psol
1.540 5.000 0.474 1.135 1.446 0.490 0.358 0.000
1.550 5.000 0.484 1.250 1.442 0.490 0.358 0.000
1.560 5.000 0.490 1.301 1.501 0.490 0.358 0.000
1.570 5.000 0.476 1.413 1.392 0.494 0.356 0.000
1.580 5.000 0.477 1.383 1.496 0.496 0.355 0.000
1.590 5.000 0.462 1.321 1.390 0.503 0.351 0.000
1.600 5.000 0.484 1.390 1.550 0.503 0.351 0.000
1.610 5.000 0.481 1.625 1.405 0.505 0.350 0.000
1.620 5.000 0.486 1.726 1.364 0.506 0.349 0.000
1.630 5.000 0.489 1.602 1.458 0.506 0.349 0.000
1.640 5.000 0.466 1.739 1.361 0.512 0.346 0.000
1.650 5.000 0.475 1.711 1.360 0.514 0.345 0.000
1.660 5.000 0.494 1.883 1.531 0.513 0.346 0.000
1.670 5.000 0.509 1.896 1.552 0.508 0.348 0.000
1.680 5.000 0.477 1.809 1.336 0.512 0.346 0.000
1.690 5.000 0.468 1.761 1.446 0.517 0.343 0.000
1.700 5.000 0.481 1.872 1.648 0.519 0.342 0.000
1.710 5.000 0.524 1.906 1.734 0.510 0.347 0.000
1.720 5.000 0.525 1.988 1.809 0.503 0.351 0.000
1.730 5.000 0.490 1.762 1.432 0.505 0.350 0.000
1.740 5.000 0.465 1.803 1.327 0.511 0.347 0.000
1.750 5.000 0.485 1.751 1.334 0.511 0.347 0.000
1.760 5.000 0.514 1.946 1.533 0.505 0.350 0.000
1.770 5.000 0.502 1.685 1.576 0.503 0.351 0.000
1.780 5.000 0.494 1.680 1.620 0.503 0.351 0.000
1.790 7.500 0.499 1.619 1.518 0.560 0.320 0.000
1.800 10.000 0.502 2.207 1.438 0.665 0.262 0.000
1.810 12.500 0.573 2.751 1.660 0.802 0.186 0.000
1.820 15.000 0.791 4.885 1.938 0.939 0.111 0.000
1.830 17.500 1.041 9.178 2.321 1.000 0.050 0.000
1.840 20.000 1.049 12.415 1.449 1.000 0.050 0.000
1.850 22.500 1.238 15.560 1.951 1.000 0.050 0.000
1.860 25.000 1.403 24.097 2.168 1.000 0.050 0.000
1.870 27.500 1.338 25.135 1.597 1.000 0.050 0.000
1.880 30.000 1.376 24.572 1.941 1.000 0.050 0.000
1.890 30.000 1.454 25.476 1.830 1.000 0.050 0.000
1.900 30.000 1.425 24.714 1.414 1.000 0.050 0.000
1.910 30.000 1.496 24.990 1.762 1.000 0.050 0.000
1.920 30.000 1.538 24.641 1.462 1.000 0.050 0.000
1.930 30.000 1.529 23.302 1.296 1.000 0.050 0.000
1.940 30.000 1.603 23.940 1.759 1.000 0.050 0.000
1.950 30.000 1.654 21.336 1.954 1.000 0.050 0.000
1.960 30.000 1.727 23.144 1.812 1.000 0.050 0.000
1.970 30.000 1.644 21.613 1.589 1.000 0.050 0.000
1.980 30.000 1.797 21.641 2.514 1.000 0.050 0.000
1.990 30.000 1.783 18.914 2.052 1.000 0.050 0.000
2.000 30.000 1.848 21.273 2.454 1.000 0.050 0.000
2.010 30.000 1.835 19.107 2.173 1.000 0.050 0.000
2.020 30.000 1.886 22.489 2.094 1.000 0.050 0.000
2.030 30.000 1.852 19.106 1.734 1.000 0.050 0.000
2.040 30.000 2.061 18.989 2.858 1.000 0.050 0.000
2.050 30.000 1.943 18.777 2.415 1.000 0.050 0.000
2.060 30.000 2.016 18.619 2.906 1.000 0.050 0.000
2.070 30.000 2.032 19.870 2.147 1.000 0.050 0.000
2.080 30.000 2.067 18.982 2.457 1.000 0.050 0.000
2.090 30.000 2.085 16.843 2.393 1.000 0.050 0.000
2.100 30.000 2.174 17.339 2.974 1.000 0.050 0.000
2.110 30.000 2.177 18.749 2.795 1.000 0.050 0.000
2.120 30.000 2.205 16.278 2.844 1.000 0.050 0.000
2.130 30.000 2.220 17.289 2.505 1.000 0.050 0.000
2.140 30.000 2.267 16.728 2.770 1.000 0.050 0.000
2.150 30.000 2.358 17.012 3.151 1.000 0.050 0.000
2.160 30.000 2.320 18.055 2.620 1.000 0.050 0.000
2.170 30.000 2.336 17.629 2.411 1.000 0.050 0.000
2.180 30.000 2.427 15.849 2.977 1.000 0.050 0.000
2.190 30.000 2.431 16.051 2.932 1.000 0.050 0.000
2.200 30.000 2.492 17.142 3.266 1.000 0.050 0.000
2.210 30.000 2.426 15.220 2.746 1.000 0.050 0.000
