Interval=	0.01 s
ExcelDateTime=	4.4003156517691241e+004	6/21/2020 3:45:23.128523
TimeFormat=	StartOfBlock
DateFormat=
ChannelTitle=	Flow	Pressure	Volume	Breath Rate	Max Flow	Min Flow	Max Pressure	Min Pressure	Max Volume	Min Volume
Range=	20.000 L/s	5.000 mV	4.000 L	500.0000 BPM	100.0000 L/s	100.0000 L/s	100.0000 mmHg	100.0000 mmHg	100.0000 L	100.0000 L
UnitName=	*	mmHg	*	*	*	*	*	*	*	*
TopValue=	*	212.87	*	*	*	*	*	*	*	*
BottomValue=	*	-213.32	*	*	*	*	*	*	*	*
0.77	0.01754375	0.005803885	0.0005764771	137.9314	0.0250625	-0.0150375	0.01246314	-0.1140626	NaN	NaN
0.78	0	-0.007514615	0.0005764771	137.9314	0.0250625	-0.0150375	0.01246314	-0.1140626	NaN	NaN
0.79	-0.010025	-0.1140626	0.0004762268	137.9314	0.0250625	-0.0150375	0.01246314	-0.1140626	NaN	NaN
0.8	0.010025	-0.0008553647	0.0001002197	137.9314	0.0250625	-0.0150375	0.01246314	-0.1140626	NaN	NaN
0.81	0.0250625	-0.02749237	0.0003508911	134.1806	0.02673333	-0.01420208	0.01246314	-0.1140626	NaN	NaN
0.82	0.02756875	0.005803885	0.0006265564	126.6792	0.030075	-0.01253125	0.01246314	-0.1140626	NaN	NaN
0.83	0.00250625	-0.05412937	0.0006516418	126.6792	0.030075	-0.01253125	0.01246314	-0.1140626	NaN	NaN
0.84	-0.010025	-0.06078862	0.0005513916	126.6792	0.030075	-0.01253125	0.01246314	-0.1140626	NaN	NaN
0.85	0.0050125	-0.04081087	5.014038e-005	126.6792	0.030075	-0.01253125	0.01246314	-0.1140626	NaN	NaN
0.86	0.0150375	-0.08742562	0.00020047	126.6792	0.030075	-0.01253125	0.01246314	-0.1140626	NaN	NaN
0.87	0.02255625	-0.02083312	0.0004260559	126.6792	0.030075	-0.01253125	0.01246314	-0.1140626	NaN	NaN
0.88	0.01754375	0.01246314	0.0006014709	126.6792	0.030075	-0.01253125	0.01468289	-0.1251614	NaN	NaN
0.89	-0.0050125	-0.1473589	0.0005513916	126.6792	0.030075	-0.01253125	0.01912239	-0.1473589	NaN	NaN
0.9	-0.0050125	-0.08742562	0.0005012207	126.6792	0.030075	-0.01253125	0.01912239	-0.1473589	NaN	NaN
0.91	0.01754375	-0.08742562	0.0001754761	126.6792	0.030075	-0.01253125	0.01912239	-0.1473589	NaN	NaN
0.92	0.02255625	0.01912239	0.0004009705	126.6792	0.030075	-0.01253125	0.01912239	-0.1473589	NaN	NaN
0.93	0.0150375	0.01912239	0.0005513916	126.6792	0.030075	-0.01253125	0.01912239	-0.1473589	NaN	NaN
0.94	-0.00250625	-0.05412937	0.0005263062	126.6792	0.030075	-0.01253125	0.01912239	-0.1473589	NaN	NaN
0.95	-0.01253125	0.05241864	0.0004009705	126.6792	0.030075	-0.01253125	0.03022114	-0.1207219	NaN	NaN
0.96	0.00250625	-0.06744787	2.505493e-005	126.6792	0.030075	-0.01253125	0.05241864	-0.06744787	NaN	NaN
0.97	0.02255625	0.07905564	0.0002506409	126.6792	0.030075	-0.01253125	0.06129764	-0.08964536	NaN	NaN
0.98	0.0150375	0.02578164	0.0004009705	126.6792	0.030075	-0.01253125	0.07905564	-0.1340404	NaN	NaN
0.99	0	0.03244089	0.0004009705	126.6792	0.030075	-0.01253125	0.07905564	-0.1340404	NaN	NaN
1	-0.01253125	-0.0008553647	0.0002757263	126.6792	0.030075	-0.01253125	0.07905564	-0.1340404	NaN	NaN
1.01	-0.00250625	0.01246314	0.0002506409	126.6792	0.030075	-0.01253125	0.07905564	-0.1340404	NaN	NaN
1.02	0.0150375	-0.1140626	0.0001503906	126.6792	0.030075	-0.01253125	0.07905564	-0.1340404	NaN	NaN
1.03	0.01754375	-0.02749237	0.0003258057	126.6792	0.030075	-0.01253125	0.07905564	-0.1340404	NaN	NaN
1.04	0.01253125	-0.1340404	0.0004511414	126.6792	0.030075	-0.01253125	0.07905564	-0.1340404	NaN	NaN
1.05	-0.00751875	0.01246314	0.0003759766	126.6792	0.030075	-0.01253125	0.07905564	-0.1340404	NaN	NaN
1.06	-0.010025	-0.06078862	0.0002757263	126.6792	0.030075	-0.01253125	0.07905564	-0.1340404	NaN	NaN
1.07	0.02005	0.01912239	0.00020047	126.6792	0.030075	-0.01253125	0.05907789	-0.1406996	NaN	NaN
1.08	0.02255625	0.005803885	0.0004260559	126.6792	0.030075	-0.01253125	0.01912239	-0.1540181	NaN	NaN
1.09	0.0150375	0.01912239	0.0005764771	126.6792	0.030075	-0.01253125	0.01912239	-0.1540181	NaN	NaN
1.1	-0.0050125	-0.03415162	0.0005263062	126.6792	0.030075	-0.01253125	0.01912239	-0.1540181	NaN	NaN
1.11	-0.010025	-0.02083312	0.0004260559	126.6792	0.030075	-0.01253125	0.01912239	-0.1540181	NaN	NaN
1.12	0.0050125	-0.1540181	5.014038e-005	126.6792	0.030075	-0.01253125	0.01912239	-0.1540181	NaN	NaN
1.13	0.02005	-0.02083312	0.0002506409	126.6792	0.030075	-0.01253125	0.01912239	-0.1540181	NaN	NaN
1.14	0.0250625	0.01912239	0.0005012207	126.6792	0.030075	-0.01253125	0.01912239	-0.1651169	NaN	NaN
1.15	0.0050125	-0.03415162	0.0005513916	126.6792	0.030075	-0.01253125	0.01912239	-0.1873144	NaN	NaN
1.16	-0.00751875	-0.07410712	0.0004762268	126.6792	0.030075	-0.01253125	0.01912239	-0.1873144	NaN	NaN
1.17	0.00250625	-0.04081087	2.505493e-005	126.6792	0.030075	-0.01253125	0.01912239	-0.1873144	NaN	NaN
1.18	0.01754375	-0.05412937	0.00020047	126.6792	0.030075	-0.01253125	0.01912239	-0.1873144	NaN	NaN
1.19	0.030075	-0.1873144	0.0005012207	126.6792	0.030075	-0.01253125	0.01912239	-0.1873144	NaN	NaN
1.2	0.00751875	-0.04081087	0.0005764771	126.6792	0.030075	-0.01253125	-0.0008553639	-0.1850946	NaN	NaN
1.21	-0.00751875	-0.1806551	0.0005012207	126.6792	0.030075	-0.01253125	-0.04081087	-0.1806551	NaN	NaN
1.22	-0.00250625	-0.09408487	0.0004762268	126.6792	0.030075	-0.01253125	-0.04081087	-0.1806551	NaN	NaN
1.23	0.01754375	-0.1673366	0.0001754761	126.6792	0.030075	-0.01253125	-0.04081087	-0.1806551	NaN	NaN
1.24	0.01754375	-0.1406996	0.0003508911	126.6792	0.030075	-0.01253125	-0.04081087	-0.1806551	NaN	NaN
1.25	0.0150375	-0.01417387	0.0005012207	126.6792	0.030075	-0.01253125	-0.03193187	-0.1695564	NaN	NaN
1.26	-0.00250625	-0.08742562	0.0004762268	126.6792	0.030075	-0.01253125	-0.01417387	-0.1473589	NaN	NaN
1.27	-0.00751875	-0.1473589	0.0004009705	126.6792	0.030075	-0.01253125	-0.01417387	-0.1473589	NaN	NaN
1.28	0.010025	-0.08742562	0.0001002197	126.6792	0.030075	-0.01253125	-0.01417387	-0.1473589	NaN	NaN
1.29	0.02756875	0.07239639	0.0003759766	113.1048	0.02923958	-0.01253125	0.01468289	-0.1517984	NaN	NaN
1.3	0.01754375	-0.01417387	0.0005513916	85.95617	0.02756875	-0.01253125	0.07239639	-0.1606774	NaN	NaN
1.31	0.0050125	-0.02083312	0.0006014709	85.95617	0.02756875	-0.01253125	0.07239639	-0.1606774	NaN	NaN
1.32	-0.01253125	-0.007514615	0.0004762268	85.95617	0.02756875	-0.01253125	0.07239639	-0.1606774	NaN	NaN
1.33	0.0050125	-0.06744787	5.014038e-005	85.95617	0.02756875	-0.01253125	0.07239639	-0.1606774	NaN	NaN
1.34	0.01754375	-0.06078862	0.0002255554	85.95617	0.02756875	-0.01253125	0.07239639	-0.1606774	NaN	NaN
1.35	0.0250625	-0.08076637	0.0004762268	85.95617	0.02756875	-0.01253125	0.07239639	-0.1606774	NaN	NaN
1.36	0.00751875	-0.08076637	0.0005513916	85.95617	0.02756875	-0.01253125	0.07239639	-0.1606774	NaN	NaN
1.37	-0.01253125	-0.09408487	0.0004260559	85.95617	0.02756875	-0.01253125	0.07239639	-0.1606774	NaN	NaN
1.38	-0.00250625	-0.04081087	0.0004009705	85.95617	0.02756875	-0.01253125	0.07239639	-0.1606774	NaN	NaN
1.39	0.02005	-0.06078862	0.00020047	85.95617	0.02756875	-0.01253125	0.07239639	-0.1606774	NaN	NaN
1.4	0.02255625	-0.05412937	0.0004260559	85.95617	0.02756875	-0.01253125	0.07239639	-0.1606774	NaN	NaN
1.41	0.01754375	-0.01417387	0.0006014709	85.95617	0.02756875	-0.01253125	0.07239639	-0.1606774	NaN	NaN
1.42	0	-0.08076637	0.0006014709	85.95617	0.02756875	-0.01253125	0.07239639	-0.1606774	NaN	NaN
1.43	-0.010025	0.01912239	0.0005012207	85.95617	0.02756875	-0.01253125	0.07239639	-0.1606774	NaN	NaN
1.44	0.00751875	-0.07410712	7.522583e-005	85.95617	0.02756875	-0.01253125	0.07239639	-0.1606774	NaN	NaN
1.45	0.02005	-0.04081087	0.0002757263	85.95617	0.02756875	-0.01253125	0.07239639	-0.1606774	NaN	NaN
1.46	0.01754375	-0.03415162	0.0004511414	85.95617	0.02756875	-0.01253125	0.07239639	-0.1606774	NaN	NaN
1.47	0	-0.02083312	0.0004511414	85.95617	0.02756875	-0.01253125	0.07239639	-0.1606774	NaN	NaN
1.48	-0.010025	-0.1140626	0.0003508911	85.95617	0.02756875	-0.01253125	0.07239639	-0.1606774	NaN	NaN
1.49	-0.00250625	-0.1606774	0.0003258057	85.95617	0.02756875	-0.01253125	0.07239639	-0.1606774	NaN	NaN
1.5	0.01754375	-0.06744787	0.0001754761	85.95617	0.02756875	-0.01253125	0.07239639	-0.1606774	NaN	NaN
1.51	0.02255625	-0.02083312	0.0004009705	85.95617	0.02756875	-0.01253125	0.07239639	-0.1606774	NaN	NaN
1.52	0.01253125	-0.007514615	0.0005263062	85.95617	0.02756875	-0.01253125	0.07239639	-0.1606774	NaN	NaN
1.53	-0.0050125	0.05241864	0.0004762268	85.95617	0.02756875	-0.01253125	0.07239639	-0.1606774	NaN	NaN
1.54	0.00250625	0.07239639	0.0005012207	85.95617	0.02756875	-0.01253125	0.07239639	-0.1517984	NaN	NaN
1.55	0.010025	-0.1340404	0.0006014709	85.95617	0.02756875	-0.01253125	0.07239639	-0.1340404	NaN	NaN
1.56	0.02005	0.05241864	0.0008019714	85.95617	0.02756875	-0.01253125	0.07239639	-0.1340404	NaN	NaN
1.57	0.01754375	0.04575939	0.000977478	85.95617	0.02756875	-0.01253125	0.07239639	-0.1340404	NaN	NaN
1.58	0.00250625	0.06573714	0.001002472	85.95617	0.02756875	-0.01253125	0.07017664	-0.1096231	NaN	NaN
1.59	-0.0050125	0.03244089	0.0009523926	85.95617	0.02756875	-0.01253125	0.06573714	-0.06078861	NaN	NaN
1.6	0.0050125	-0.06078862	0.001002472	85.95617	0.02756875	-0.01253125	0.06573714	-0.06078861	NaN	NaN
1.61	0.01754375	-0.04081087	0.001177979	85.95617	0.02756875	-0.01253125	0.06573714	-0.06078861	NaN	NaN
1.62	0.02255625	0.01246314	0.001403473	85.95617	0.02756875	-0.01253125	0.06573714	-0.06078861	NaN	NaN
1.63	0	0.1056926	0.001403473	85.95617	0.02756875	-0.01253125	0.07905564	-0.07854661	NaN	NaN
1.64	-0.01253125	-0.1140626	0.001278229	85.95617	0.02756875	-0.01253125	0.1056926	-0.1140626	NaN	NaN
1.65	0.00250625	-0.04747012	0.001303223	85.95617	0.02756875	-0.01253125	0.1056926	-0.1140626	NaN	NaN
1.66	0.010025	0.01912239	0.001403473	85.95617	0.02756875	-0.01253125	0.1056926	-0.1140626	NaN	NaN
1.67	0.02756875	-0.06744787	0.00167923	85.95617	0.02756875	-0.01253125	0.1056926	-0.1140626	NaN	NaN
1.68	0.0050125	0.06573714	0.001729309	85.95617	0.02756875	-0.01253125	0.09237414	-0.1096231	NaN	NaN
1.69	-0.0050125	-0.1007441	0.00167923	85.95617	0.02756875	-0.01253125	0.06573714	-0.1007441	NaN	NaN
