# Captured 2020-06-21 04:24:23.417792 by unknown user
# Built at revision 944c41f (dirty)
time(sec)  pc_setpoint  pressure  net_flow
3.030  5.000  25.042  17.849
3.040  5.000  24.871  -750.429
3.050  5.000  20.073  -1135.588
3.060  5.000  16.980  -466.143
3.070  5.000  19.068  -959.194
3.080  5.000  18.647  -581.847
3.090  5.000  18.648  -851.401
3.100  5.000  18.728  -719.346
3.110  5.000  18.318  -686.037
3.120  5.000  18.148  -717.736
3.130  5.000  17.907  -721.707
3.140  5.000  17.640  -807.102
3.150  5.000  17.324  -636.343
3.160  5.000  16.953  -769.750
3.170  5.000  16.975  -651.781
3.180  5.000  16.890  -757.176
3.190  5.000  16.771  -673.646
3.200  5.000  16.816  -672.608
3.210  5.000  16.612  -643.070
3.220  5.000  16.396  -678.308
3.230  5.000  16.218  -753.022
3.240  5.000  16.146  -634.907
3.250  5.000  15.918  -615.003
3.260  5.000  15.751  -630.020
3.270  5.000  15.724  -767.850
3.280  5.000  15.571  -662.748
3.290  5.000  15.508  -620.496
3.300  5.000  15.357  -731.253
3.310  5.000  15.281  -662.385
3.320  5.000  15.047  -587.204
3.330  5.000  15.095  -777.654
3.340  5.000  14.812  -647.723
3.350  5.000  14.829  -610.250
3.360  5.000  14.745  -622.996
3.370  5.000  14.552  -690.257
3.380  5.000  14.467  -619.639
3.390  5.000  14.390  -640.166
3.400  5.000  14.309  -640.933
3.410  5.000  14.105  -694.512
3.420  5.000  14.020  -566.726
3.430  5.000  13.902  -676.369
3.440  5.000  13.770  -577.232
3.450  5.000  13.810  -580.822
3.460  5.000  13.739  -677.590
3.470  5.000  13.679  -588.234
3.480  5.000  13.482  -585.128
3.490  5.000  13.414  -658.896
3.500  5.000  13.376  -594.108
3.510  5.000  13.349  -636.463
3.520  5.000  13.084  -568.915
3.530  5.000  12.931  -559.909
3.540  5.000  12.895  -586.654
3.550  5.000  12.725  -647.369
3.560  5.000  12.708  -553.660
3.570  5.000  12.650  -611.065
3.580  5.000  12.581  -569.321
3.590  5.000  12.455  -561.322
3.600  5.000  12.414  -677.407
3.610  5.000  12.205  -556.917
3.620  5.000  12.155  -569.664
3.630  5.000  12.073  -545.291
3.640  5.000  12.104  -576.991
3.650  5.000  11.877  -667.022
3.660  5.000  11.916  -515.707
3.670  5.000  11.835  -558.069
3.680  5.000  11.713  -670.296
3.690  5.000  11.532  -544.142
3.700  5.000  11.522  -561.694
3.710  5.000  11.374  -511.648
3.720  5.000  11.481  -570.616
3.730  5.000  11.320  -560.226
3.740  5.000  11.222  -611.596
3.750  5.000  11.159  -505.408
3.760  5.000  11.102  -594.208
3.770  5.000  11.055  -521.423
3.780  5.000  10.826  -514.048
3.790  5.000  10.696  -565.864
3.800  5.000  10.644  -610.040
3.810  5.000  10.582  -522.729
3.820  5.000  10.453  -483.310
3.830  5.000  10.530  -610.291
3.840  5.000  10.397  -513.578
3.850  5.000  10.415  -497.790
3.860  5.000  10.164  -619.750
3.870  5.000  10.087  -517.701
3.880  5.000  10.021  -491.537
3.890  5.000  10.005  -584.550
3.900  5.000  9.879  -467.731
3.910  5.000  9.822  -532.574
3.920  5.000  9.711  -482.541
3.930  5.000  9.639  -481.087
3.940  5.000  9.563  -490.474
3.950  5.000  9.511  -527.969
3.960  5.000  9.435  -437.859
3.970  5.000  9.412  -522.319
3.980  5.000  9.313  -492.728
3.990  5.000  9.159  -457.607
4.000  5.000  9.127  -479.828
4.010  5.000  9.059  -554.898
4.020  5.000  9.115  -460.402
4.030  5.000  9.027  -463.034
4.040  5.000  8.941  -545.621
4.050  5.000  8.748  -462.056
4.060  5.000  8.788  -456.018
4.070  5.000  8.680  -462.683
4.080  5.000  8.557  -467.225
4.090  5.000  8.531  -473.936
4.100  5.000  8.495  -454.742
4.110  5.000  8.374  -437.229
4.120  5.000  8.264  -446.789
4.130  5.000  8.323  -442.108
4.140  5.000  8.239  -448.831
4.150  5.000  8.142  -455.229
4.160  5.000  8.141  -443.492
4.170  5.000  7.984  -436.690
4.180  5.000  8.001  -456.210
4.190  5.000  7.889  -439.114
4.200  5.000  7.865  -437.134
4.210  5.000  7.746  -458.070
4.220  5.000  7.827  -428.063
4.230  5.000  7.616  -443.175
4.240  5.000  7.588  -499.122
4.250  5.000  7.481  -430.170
4.260  5.000  7.408  -416.840
4.270  5.000  7.379  -487.745
4.280  5.000  7.270  -437.312
4.290  5.000  7.280  -430.596
4.300  5.000  7.164  -403.306
4.310  5.000  7.137  -431.327
4.320  5.000  7.024  -400.422
4.330  5.000  7.027  -409.781
4.340  5.000  6.943  -410.812
4.350  5.000  6.939  -395.440
4.360  5.000  6.822  -412.329
4.370  5.000  6.861  -399.730
4.380  5.000  6.775  -381.838
4.390  5.000  6.681  -424.091
4.400  5.000  6.678  -390.730
4.410  5.000  6.606  -382.824
4.420  5.000  6.528  -382.967
4.430  5.000  6.436  -399.153
4.440  5.000  6.425  -379.847
4.450  5.000  6.329  -383.831
4.460  5.000  6.292  -382.990
4.470  5.000  6.215  -372.485
4.480  5.000  6.240  -407.003
4.490  5.000  6.158  -376.674
4.500  5.000  6.152  -361.781
4.510  5.000  6.021  -362.122
4.520  5.000  5.963  -355.087
4.530  5.000  5.901  -364.158
4.540  5.000  5.888  -366.243
4.550  5.000  5.847  -353.100
4.560  5.000  5.786  -358.943
4.570  5.000  5.754  -352.288
4.580  5.000  5.730  -353.899
4.590  5.000  5.657  -360.354
4.600  5.000  5.614  -349.928
4.610  5.000  5.591  -332.174
4.620  5.000  5.502  -334.759
4.630  5.000  5.476  -327.427
4.640  5.000  5.413  -359.231
4.650  5.000  5.384  -341.637
4.660  5.000  5.297  -341.524
4.670  5.000  5.240  -320.507
4.680  5.000  5.207  -325.682
4.690  5.000  5.184  -321.717
4.700  5.000  5.109  -328.479
4.710  5.000  5.191  -337.793
4.720  5.000  5.127  -324.996
4.730  5.000  5.010  -315.812
4.740  5.000  4.927  -308.765
4.750  5.000  4.969  -317.479
4.760  5.000  4.886  -312.634
4.770  5.000  4.891  -311.290
4.780  5.000  4.811  -291.760
4.790  5.000  4.811  -299.845
4.800  5.000  4.782  -298.957
4.810  5.000  4.733  -278.865
4.820  5.000  4.713  -271.992
4.830  5.000  4.695  -269.914
4.840  5.000  4.717  -259.090
4.850  5.000  4.682  -241.649
4.860  5.000  4.676  -234.801
4.870  5.000  4.809  -230.113
4.880  5.000  4.831  -218.655
4.890  5.000  4.817  -219.237
4.900  5.000  4.817  -209.808
4.910  5.000  4.780  -186.571
4.920  5.000  4.800  -181.893
4.930  5.000  4.809  -171.810
4.940  5.000  4.857  -170.160
4.950  5.000  4.892  -165.928
4.960  5.000  4.910  -156.457
4.970  5.000  4.851  -146.405
4.980  5.000  4.801  -131.619
4.990  5.000  4.826  -133.730
5.000  5.000  4.845  -115.014
5.010  5.000  4.962  -117.437
5.020  5.000  4.985  -110.679
5.030  5.000  4.915  -102.351
5.040  5.000  4.926  -109.477
5.050  5.000  4.965  -95.778
5.060  5.000  4.936  -95.806
5.070  5.000  4.928  -89.579
5.080  5.000  4.882  -82.194
5.090  5.000  4.843  -65.784
5.100  5.000  4.833  -69.716
5.110  5.000  4.900  -52.626
5.120  5.000  5.008  -52.544
5.130  5.000  4.967  -42.810
5.140  5.000  4.906  -55.523
5.150  5.000  4.861  -44.877
5.160  5.000  4.925  -30.007
5.170  5.000  4.927  -26.186
5.180  5.000  4.950  -27.382
5.190  5.000  4.934  -16.301
5.200  5.000  4.801  0.339
5.210  5.000  4.858  3.708
5.220  5.000  4.978  -1.180
5.230  5.000  4.991  4.893
5.240  5.000  4.957  5.742
5.250  5.000  4.903  7.212
5.260  5.000  4.962  4.963
5.270  5.000  4.943  7.819
5.280  5.000  4.898  29.756
5.290  5.000  4.982  10.208
5.300  5.000  4.999  21.538
5.310  5.000  4.951  27.444
5.320  5.000  4.980  49.431
5.330  5.000  4.962  43.402
5.340  5.000  4.940  31.052
5.350  5.000  4.964  50.520
5.360  5.000  4.997  51.638
5.370  5.000  4.928  57.978
5.380  5.000  5.016  49.431
5.390  5.000  5.089  44.379
5.400  5.000  5.050  57.593
5.410  5.000  5.126  43.579
5.420  5.000  5.059  58.604
5.430  5.000  5.080  60.414
5.440  5.000  5.088  42.340
5.450  5.000  5.182  48.301
5.460  5.000  5.167  52.709
5.470  5.000  5.044  56.241
5.480  5.000  5.067  45.550
5.490  5.000  5.180  46.242
5.500  5.000  5.196  43.774
5.510  5.000  5.228  37.944
5.520  5.000  5.134  47.864
5.530  5.000  5.106  46.208
5.540  5.000  5.178  33.208
5.550  5.000  5.177  20.441
5.560  5.000  5.118  27.954
5.570  5.000  5.120  23.940
5.580  5.000  5.073  33.691
5.590  5.000  5.067  26.163
5.600  5.000  5.195  10.024
5.610  5.000  5.121  8.025
5.620  5.000  5.108  9.106
5.630  5.000  5.075  10.480
5.640  5.000  5.121  -1.769
5.650  5.000  5.157  -8.676
5.660  5.000  5.135  -13.156
5.670  5.000  5.062  -12.005
5.680  5.000  5.128  -38.837
5.690  5.000  5.076  -26.924
5.700  5.000  5.155  -48.679
5.710  5.000  5.019  -30.171
5.720  5.000  5.028  -54.142
5.730  5.000  5.080  -45.987
5.740  5.000  5.160  -41.589
5.750  5.000  5.054  -26.667
5.760  5.000  5.029  -46.548
5.770  5.000  4.998  -43.479
5.780  5.000  4.910  -41.820
5.790  5.000  4.974  -52.279
5.800  5.000  5.002  -63.107
5.810  5.000  4.984  -63.839
5.820  5.000  4.993  -48.376
5.830  5.000  5.003  -53.701
5.840  5.000  4.976  -45.376
5.850  5.000  4.996  -52.687
5.860  5.000  4.895  -51.445
5.870  5.000  4.967  -44.399
5.880  5.000  4.955  -46.313
5.890  5.000  4.930  -44.726
5.900  5.000  4.926  -42.740
5.910  5.000  4.966  -48.738
5.920  5.000  4.887  -53.136
5.930  5.000  4.945  -36.511
5.940  5.000  4.903  -45.337
5.950  5.000  4.811  -39.453
5.960  5.000  4.912  -42.883
5.970  5.000  4.888  -45.473
5.980  5.000  4.883  -37.674
5.990  5.000  4.895  -41.609
6.000  5.000  4.817  -27.628
6.010  5.000  4.864  -20.057
6.020  5.000  4.925  -18.392
6.030  5.000  5.036  -6.891
6.040  7.000  4.907  -127.959
6.050  9.000  5.022  -44.154
6.060  11.000  5.436  60.416
6.070  13.000  7.111  163.885
6.080  15.000  8.047  282.764
6.090  17.000  8.596  418.734
6.100  19.000  8.465  493.741
6.110  21.000  9.153  529.880
6.120  23.000  9.508  848.732
6.130  25.000  9.921  643.180
6.140  25.000  10.296  573.805
6.150  25.000  10.406  681.801
6.160  25.000  10.143  613.703
6.170  25.000  9.832  849.185
6.180  25.000  10.379  650.145
6.190  25.000  10.942  613.283
6.200  25.000  10.803  889.495
6.210  25.000  11.188  645.228
6.220  25.000  11.463  594.157
6.230  25.000  11.391  625.274
6.240  25.000  11.790  607.181
6.250  25.000  11.604  732.905
6.260  25.000  11.851  645.463
6.270  25.000  12.507  547.466
6.280  25.000  12.394  668.450
6.290  25.000  12.807  545.367
6.300  25.000  12.640  677.424
6.310  25.000  13.125  509.875
6.320  25.000  12.237  913.299
6.330  25.000  13.121  580.124
6.340  25.000  12.752  720.312
6.350  25.000  13.483  622.894
6.360  25.000  13.671  655.206
6.370  25.000  13.920  597.972
6.380  25.000  13.681  697.537
6.390  25.000  13.854  640.954
6.400  25.000  14.168  594.769
6.410  25.000  14.215  578.008
6.420  25.000  14.187  614.021
6.430  25.000  14.683  603.420
6.440  25.000  14.457  757.374
6.450  25.000  14.979  587.774
6.460  25.000  15.002  610.533
6.470  25.000  15.225  605.692
6.480  25.000  15.355  558.016
6.490  25.000  15.537  592.146
6.500  25.000  15.697  593.132
6.510  25.000  15.586  833.527
6.520  25.000  15.837  651.641
6.530  25.000  16.212  523.841
6.540  25.000  16.350  609.817
6.550  25.000  16.328  645.242
6.560  25.000  17.129  542.188
6.570  25.000  16.212  928.038
6.580  25.000  16.582  596.176
6.590  25.000  16.977  541.771
6.600  25.000  17.071  631.466
6.610  25.000  17.178  668.499
6.620  25.000  17.567  574.378
6.630  25.000  17.123  701.911
6.640  25.000  17.577  618.163
6.650  25.000  17.665  572.242
6.660  25.000  18.236  534.314
6.670  25.000  17.931  715.688
