# covent_pc_5
# Captured 2020-07-03 03:13:08.411757 by unknown user
# Built at revision a9175b3 (dirty)
time(sec) pc_setpoint pressure dp_inhale dp_exhale cmd_inh_valve cmd_exh_valve cmd_psol
1.320 20.000 1.985 4.830 4.790 0.682 0.252 0.000
1.330 20.000 1.991 4.855 4.782 0.679 0.254 0.000
1.340 20.000 1.967 4.554 4.654 0.680 0.254 0.000
1.350 20.000 1.990 4.711 4.825 0.676 0.256 0.000
1.360 20.000 1.980 4.204 4.919 0.674 0.257 0.000
1.370 20.000 1.989 4.597 5.132 0.671 0.258 0.000
1.380 20.000 1.962 4.237 4.611 0.672 0.258 0.000
1.390 20.000 1.956 4.418 4.716 0.673 0.257 0.000
1.400 20.000 1.942 4.647 4.604 0.675 0.256 0.000
1.410 20.000 1.982 4.228 4.886 0.672 0.258 0.000
1.420 20.000 1.972 4.295 4.778 0.671 0.258 0.000
1.430 20.000 1.944 4.107 4.834 0.674 0.257 0.000
1.440 20.000 1.935 4.177 4.714 0.677 0.255 0.000
1.450 20.000 1.961 4.596 4.797 0.676 0.256 0.000
1.460 20.000 1.975 4.476 4.964 0.674 0.257 0.000
1.470 5.000 1.969 4.363 4.931 0.468 0.370 0.000
1.480 5.000 1.845 3.805 5.036 0.337 0.442 0.000
1.490 5.000 1.622 1.831 5.666 0.233 0.499 0.000
1.500 5.000 1.300 0.387 4.844 0.165 0.537 0.000
1.510 5.000 1.182 -0.045 4.996 0.100 0.572 0.000
1.520 5.000 1.078 0.040 4.834 0.050 0.600 0.000
1.530 5.000 1.063 0.098 4.903 0.050 0.600 0.000
1.540 5.000 1.040 0.099 4.795 0.050 0.600 0.000
1.550 5.000 0.997 0.128 4.655 0.050 0.600 0.000
1.560 5.000 0.979 0.078 4.587 0.050 0.600 0.000
1.570 5.000 0.953 0.075 4.475 0.050 0.600 0.000
1.580 5.000 0.933 0.079 4.340 0.050 0.600 0.000
1.590 5.000 0.930 0.058 4.392 0.050 0.600 0.000
1.600 5.000 0.916 0.088 4.322 0.050 0.600 0.000
1.610 5.000 0.887 0.081 4.106 0.050 0.600 0.000
1.620 5.000 0.873 0.113 4.088 0.050 0.600 0.000
1.630 5.000 0.858 0.045 4.031 0.050 0.600 0.000
1.640 5.000 0.840 0.092 3.966 0.050 0.600 0.000
1.650 5.000 0.818 0.082 3.864 0.050 0.600 0.000
1.660 5.000 0.814 0.112 3.794 0.050 0.600 0.000
1.670 5.000 0.787 0.109 3.687 0.050 0.600 0.000
1.680 5.000 0.785 0.076 3.671 0.050 0.600 0.000
1.690 5.000 0.763 0.112 3.574 0.050 0.600 0.000
1.700 5.000 0.745 0.030 3.501 0.050 0.600 0.000
1.710 5.000 0.731 0.160 3.433 0.050 0.600 0.000
1.720 5.000 0.707 0.040 3.288 0.050 0.600 0.000
1.730 5.000 0.702 0.111 3.264 0.050 0.600 0.000
1.740 5.000 0.679 0.027 3.060 0.050 0.600 0.000
1.750 5.000 0.664 0.099 3.069 0.050 0.600 0.000
1.760 5.000 0.652 0.013 3.046 0.050 0.600 0.000
1.770 5.000 0.639 0.022 3.008 0.050 0.600 0.000
1.780 5.000 0.624 0.093 2.959 0.050 0.600 0.000
1.790 5.000 0.609 0.127 2.847 0.050 0.600 0.000
1.800 5.000 0.589 0.111 2.770 0.050 0.600 0.000
1.810 5.000 0.578 0.078 2.702 0.050 0.600 0.000
1.820 5.000 0.568 0.044 2.667 0.050 0.600 0.000
1.830 5.000 0.548 0.077 2.503 0.050 0.600 0.000
1.840 5.000 0.532 0.102 2.442 0.050 0.600 0.000
1.850 5.000 0.515 0.037 2.387 0.050 0.600 0.000
1.860 5.000 0.513 0.154 2.403 0.050 0.600 0.000
1.870 5.000 0.499 0.059 2.268 0.050 0.600 0.000
1.880 5.000 0.489 0.093 2.227 0.050 0.600 0.000
1.890 5.000 0.472 0.141 2.121 0.053 0.599 0.000
1.900 5.000 0.464 0.096 2.147 0.056 0.597 0.000
1.910 5.000 0.455 0.035 2.065 0.060 0.595 0.000
1.920 5.000 0.447 0.099 2.099 0.064 0.592 0.000
1.930 5.000 0.439 0.077 2.048 0.070 0.589 0.000
1.940 5.000 0.420 0.100 1.975 0.078 0.585 0.000
1.950 5.000 0.412 0.103 1.886 0.086 0.580 0.000
1.960 5.000 0.411 0.082 1.869 0.094 0.576 0.000
1.970 5.000 0.385 0.062 1.763 0.105 0.570 0.000
1.980 5.000 0.387 0.137 1.774 0.116 0.564 0.000
1.990 5.000 0.370 0.072 1.687 0.128 0.557 0.000
2.000 5.000 0.366 0.116 1.633 0.141 0.550 0.000
2.010 5.000 0.355 0.097 1.629 0.155 0.542 0.000
2.020 5.000 0.356 0.090 1.640 0.168 0.535 0.000
2.030 5.000 0.349 0.116 1.553 0.183 0.527 0.000
2.040 5.000 0.348 0.117 1.559 0.197 0.519 0.000
2.050 5.000 0.346 0.158 1.491 0.211 0.511 0.000
2.060 5.000 0.341 0.084 1.477 0.226 0.503 0.000
2.070 5.000 0.340 0.115 1.424 0.242 0.495 0.000
2.080 5.000 0.338 0.183 1.389 0.257 0.486 0.000
2.090 5.000 0.332 0.106 1.324 0.273 0.477 0.000
2.100 5.000 0.334 0.155 1.339 0.288 0.469 0.000
2.110 5.000 0.337 0.156 1.308 0.304 0.460 0.000
2.120 5.000 0.335 0.185 1.295 0.319 0.452 0.000
