# This is based on https://github.com/RespiraWorks/VentilatorSoftware/blob/f426ea02efdd4b04b6fe720802c9cd23de6b0672/sample-data/2020-06-21-RunForRecord2-AIR-and-OXY/20200621-RunForRecord2-OXY/covent_pc_1.dat
# rearranged into the form GUI expects with a breath_id added using a shell script
# on the condition "pressure setpoint transitioned from non-5.000 to 5.000".
#
# covent_pc_1
# Captured 2020-06-21 05:14:27.386497 by unknown user
# Built at revision 050777a (dirty)
time(sec) pressure net_flow volume breath_id
2.360 8.637 -353.006 255.804 3
2.370 8.698 -358.589 252.246 3
2.380 8.603 -361.348 248.646 3
2.390 8.544 -352.476 245.077 3
2.400 8.534 -353.964 241.545 3
2.410 8.404 -353.635 238.007 3
2.420 8.389 -344.576 234.516 3
2.430 8.327 -346.371 231.061 3
2.440 8.287 -345.314 227.603 3
2.450 8.265 -340.849 224.172 3
2.460 8.135 -339.161 220.772 3
2.470 8.197 -345.059 217.351 3
2.480 8.083 -345.657 213.897 3
2.490 7.965 -338.309 210.477 3
2.500 7.910 -326.622 207.153 3
2.510 7.823 -324.051 203.899 3
2.520 7.806 -322.692 200.665 3
2.530 7.694 -323.612 197.434 3
2.540 7.674 -328.659 194.173 3
2.550 7.579 -315.251 190.954 3
2.560 7.623 -327.381 187.740 3
2.570 7.525 -322.747 184.490 3
2.580 7.526 -321.949 181.266 3
2.590 7.481 -306.308 178.125 3
2.600 7.336 -313.231 175.028 3
2.610 7.345 -317.639 171.873 3
2.620 7.264 -304.332 168.763 3
2.630 7.230 -310.726 165.688 3
2.640 7.126 -300.713 162.631 3
2.650 7.164 -304.149 159.606 3
2.660 7.142 -308.094 156.545 3
2.670 7.056 -298.335 153.512 3
2.680 6.992 -297.505 150.534 3
2.690 6.966 -300.621 147.543 3
2.700 6.861 -297.342 144.554 3
2.710 6.869 -294.146 141.596 3
2.720 6.818 -289.663 138.677 3
2.730 6.778 -289.157 135.782 3
2.740 6.749 -286.562 132.905 3
2.750 6.695 -291.468 130.014 3
2.760 6.688 -288.517 127.114 3
2.770 6.574 -279.986 124.272 3
2.780 6.565 -288.134 121.431 3
2.790 6.474 -274.289 118.618 3
2.800 6.442 -284.874 115.823 3
2.810 6.393 -276.023 113.019 3
2.820 6.369 -272.107 110.278 3
2.830 6.360 -280.361 107.516 3
2.840 6.314 -266.481 104.782 3
2.850 6.239 -268.639 102.106 3
2.860 6.167 -259.492 99.466 3
2.870 6.163 -268.241 96.827 3
2.880 6.065 -257.234 94.200 3
2.890 6.070 -263.798 91.595 3
2.900 6.073 -266.746 88.942 3
2.910 6.015 -263.179 86.292 3
2.920 5.950 -256.993 83.691 3
2.930 5.940 -253.685 81.138 3
2.940 5.894 -251.454 78.612 3
2.950 5.872 -251.228 76.099 3
2.960 5.767 -245.490 73.615 3
2.970 5.752 -239.257 71.191 3
2.980 5.710 -241.751 68.787 3
2.990 5.720 -245.535 66.350 3
3.000 5.649 -239.296 63.926 3
3.010 5.624 -237.939 61.540 3
3.020 5.617 -233.503 59.182 3
3.030 5.560 -229.873 56.866 3
3.040 5.537 -227.984 54.577 3
3.050 5.529 -234.169 52.266 3
3.060 5.462 -226.864 49.961 3
3.070 5.450 -231.282 47.670 3
3.080 5.397 -222.966 45.399 3
3.090 5.400 -231.680 43.126 3
3.100 5.327 -221.151 40.862 3
3.110 5.357 -219.953 38.656 3
3.120 5.277 -212.002 36.496 3
3.130 5.242 -213.967 34.366 3
3.140 5.186 -216.692 32.213 3
3.150 5.159 -212.653 30.066 3
3.160 5.180 -211.346 27.946 3
3.170 5.067 -202.275 25.878 3
3.180 4.994 -197.653 23.879 3
3.190 5.020 -214.730 21.817 3
3.200 4.999 -198.193 19.752 3
3.210 4.964 -200.477 17.759 3
3.220 4.994 -199.834 15.757 3
