# Captured 2020-06-18 16:25:11.789034 by jlebar
# Built at revision a4c6d043 (dirty)
#
# Ventilator was run attached to QuickLung at covent preset #1 (but with lung
# compliance = 10 ml/cmH2O, that's just how it was set).
#
# I then disconnected the hose for a few cycles, and then reconnected it.
time(sec)  pressure  net_flow  flow_uncorrected  pc_setpoint
3.190  5.247  -93.894  -79.920  5.000
3.200  5.211  -82.178  -68.204  5.000
3.210  5.043  -67.024  -53.050  5.000
3.220  4.737  -67.905  -53.931  5.000
3.230  4.808  -73.484  -59.509  5.000
3.240  4.537  -45.986  -32.012  5.000
3.250  4.418  -2.665  11.309  5.000
3.260  4.817  18.222  32.196  5.000
3.270  4.334  -0.654  13.320  5.000
3.280  3.998  49.126  63.100  5.000
3.290  3.934  141.428  155.403  5.000
3.300  4.201  200.293  214.267  5.000
3.310  4.371  130.057  144.031  5.000
3.320  4.478  89.403  114.126  6.000
3.330  4.286  146.497  171.220  7.000
3.340  4.739  187.090  211.814  8.000
3.350  6.604  276.355  301.078  9.000
3.360  9.016  341.503  366.227  10.000
3.370  11.822  449.543  474.266  11.000
3.380  13.419  736.090  760.813  12.000
3.390  11.038  325.110  349.833  13.000
3.400  10.038  268.122  292.846  14.000
3.410  -1.488  1014.329  1039.052  15.000
3.420  2.437  1030.292  1055.016  15.000
3.430  2.556  1311.575  1336.298  15.000
3.440  5.228  1481.113  1505.837  15.000
3.450  5.340  1649.797  1674.520  15.000
3.460  5.685  1404.285  1429.008  15.000
3.470  4.709  1460.641  1485.365  15.000
3.480  4.707  1752.633  1777.356  15.000
3.490  4.121  1808.171  1832.894  15.000
3.500  5.090  1830.780  1855.504  15.000
3.510  5.430  1382.432  1407.155  15.000
3.520  4.739  1779.279  1804.002  15.000
3.530  4.461  1599.524  1624.247  15.000
3.540  4.885  1309.558  1334.281  15.000
3.550  5.576  1442.455  1467.178  15.000
3.560  4.519  1608.114  1632.837  15.000
3.570  5.068  1441.200  1465.923  15.000
3.580  4.636  1761.538  1786.261  15.000
3.590  5.971  1349.543  1374.266  15.000
3.600  4.741  1702.258  1726.982  15.000
3.610  5.192  1216.932  1241.656  15.000
3.620  4.419  1433.128  1457.852  15.000
3.630  4.823  1404.648  1429.372  15.000
3.640  5.471  1349.757  1374.481  15.000
3.650  5.341  1392.468  1417.191  15.000
3.660  5.033  1745.423  1770.146  15.000
