# Captured 2020-06-20 10:24:44.916993 by jkff
# Built at revision 15e86df (dirty - added the breath_id debug variable)
#
# This uses default GUI parameters:
#  Command Pressure mode
#  PIP 15
#  PEEP 5
#  RR 12
#  I-Time 1
#
# The test lung is the simple one (blue bag between two styrofoam sheets and a
# rubber band, tubes tucked under the band for more resistance)
#
# To re-capture:
# * Fire up the vent and also connect it to your computer over serial
# * Run utils/controller_debug.py
# * In there, say:
#
#  ] trace start pressure net_flow volume
#  ] get trace_samples
#  ... (repeat until it says 4096) ...
#  ] trace download --dest=trace.dat
#
time(sec) pressure net_flow volume breath_id
4.090 5.116 -18.106 0.592 181114150
4.100 5.059 -42.600 0.289 181114150
4.110 5.059 -31.931 -0.084 181114150
4.120 5.081 -7.808 -0.283 181114150
4.130 5.017 7.604 -0.284 181114150
4.140 5.012 -32.643 -0.409 181114150
4.150 4.998 -1.338 -0.579 181114150
4.160 4.976 -11.616 -0.644 181114150
4.170 5.004 -42.698 -0.915 181114150
4.180 4.999 -21.829 -1.238 181114150
4.190 4.995 -14.727 -1.421 181114150
4.200 4.939 -53.677 -1.763 181114150
4.210 4.956 -8.523 -2.074 181114150
4.220 4.918 21.264 -2.010 181114150
4.230 4.917 -26.357 -2.035 181114150
4.240 4.963 -5.846 -2.196 181114150
4.250 4.935 -5.677 -2.254 181114150
4.260 4.941 -13.802 -2.351 181114150
4.270 4.929 3.415 -2.403 181114150
4.280 4.935 -6.499 -2.419 181114150
4.290 4.938 -9.720 -2.500 181114150
4.300 4.929 -20.369 -2.650 181114150
4.310 4.964 -8.424 -2.794 181114150
4.320 4.918 37.433 -2.649 181114150
4.330 4.894 11.341 -2.405 181114150
4.340 4.956 6.479 -2.316 181114150
4.350 4.968 2.445 -2.272 181114150
4.360 4.958 -25.241 -2.386 181114150
4.370 4.942 -2.108 -2.522 181114150
4.380 4.992 20.116 -2.432 181114150
4.390 5.053 -28.455 -2.474 181114150
4.400 5.022 -15.511 -2.694 181114150
4.410 5.043 4.838 -2.747 181114150
4.420 5.038 -15.399 -2.800 181114150
4.430 5.028 -9.926 -2.927 181114150
4.440 5.060 15.259 -2.900 181114150
4.450 5.064 23.907 -2.704 181114150
4.460 5.072 -9.648 -2.633 181114150
4.470 5.071 -10.051 -2.731 181114150
4.480 5.105 4.887 -2.757 181114150
4.490 5.036 1.591 -2.725 181114150
4.500 5.079 -12.543 -2.780 181114150
4.510 5.085 2.903 -2.828 181114150
4.520 5.075 -15.178 -2.889 181114150
4.530 5.037 -24.400 -3.087 181114150
4.540 5.062 -11.486 -3.266 181114150
4.550 5.053 -19.052 -3.419 181114150
4.560 5.012 -12.090 -3.575 181114150
4.570 5.013 -24.801 -3.759 181114150
4.580 4.992 3.252 -3.867 181114150
4.590 4.996 -14.372 -3.923 181114150
4.600 4.968 -16.117 -4.075 181114150
4.610 4.992 -15.140 -4.231 181114150
4.620 4.981 -0.356 -4.309 181114150
4.630 4.942 -14.031 -4.381 181114150
4.640 4.967 -1.756 -4.460 181114150
4.650 4.907 -21.309 -4.575 181114150
4.660 4.937 -3.345 -4.698 181114150
4.670 4.940 3.450 -4.698 181114150
4.680 4.932 -12.842 -4.745 181114150
4.690 4.953 -33.661 -4.977 181114150
4.700 4.946 -12.577 -5.208 181114150
4.710 4.934 4.316 -5.250 181114150
4.720 4.892 1.529 -5.221 181114150
4.730 4.953 -33.192 -5.379 181114150
4.740 4.996 -16.545 -5.628 181114150
4.750 4.983 -10.210 -5.761 181114150
4.760 4.968 4.695 -5.789 181114150
4.770 5.025 -7.350 -5.802 181114150
4.780 4.992 -3.733 -5.858 181114150
4.790 5.020 -25.554 -6.004 181114150
4.800 4.999 5.485 -6.104 181114150
4.810 5.015 -13.830 -6.146 181114150
4.820 4.997 0.517 -6.213 181114150
4.830 5.008 -14.865 -6.284 181114150
4.840 5.068 14.508 -6.286 181114150
4.850 5.077 -17.300 -6.300 181114150
4.860 5.008 0.820 -6.383 181114150
4.870 5.055 -3.994 -6.398 181114150
4.880 5.063 2.482 -6.406 181114150
4.890 5.023 -9.801 -6.443 181114150
4.900 5.054 -19.544 -6.589 181114150
4.910 5.064 -19.958 -6.787 181114150
4.920 5.051 -7.736 -6.925 181114150
4.930 5.026 -4.056 -6.984 181114150
4.940 5.053 -7.884 -7.044 181114150
4.950 5.039 -39.228 -7.280 181114150
4.960 5.008 -20.102 -7.576 181114150
4.970 5.053 -5.319 -7.703 181114150
4.980 4.978 -21.007 -7.835 181114150
4.990 4.965 -3.417 -7.957 181114150
5.000 5.020 -0.737 -7.978 181114150
5.010 4.985 -35.228 -8.158 181114150
5.020 4.974 -8.109 -8.374 181114150
5.030 4.980 -12.116 -8.475 181114150
5.040 4.983 -2.123 -8.547 181114150
5.050 4.974 -18.025 -8.647 181114150
5.060 4.960 -30.721 -8.891 181114150
5.070 4.966 -8.088 -9.085 181114150
5.080 4.988 -23.374 -9.242 181114150
5.090 4.954 -2.557 -9.372 181114150
5.100 4.973 2.251 -9.374 181114150
5.110 4.937 -9.936 -9.412 181114150
5.120 4.985 -43.925 -9.681 181114150
5.130 4.980 -9.934 -9.951 181114150
5.140 4.964 15.345 -9.924 181114150
5.150 4.961 -12.080 -9.907 181114150
5.160 4.969 -19.568 -10.065 181114150
5.170 4.990 -19.330 -10.260 181114150
5.180 4.984 -29.523 -10.504 181114150
5.190 5.018 -12.185 -10.713 181114150
5.200 4.946 4.815 -10.750 181114150
5.210 4.998 -7.949 -10.765 181114150
5.220 5.018 1.200 -10.799 181114150
5.230 5.007 -29.108 -10.939 181114150
5.240 4.995 -4.340 -11.106 181114150
5.250 5.016 -1.324 -11.134 181114150
5.260 5.011 -4.627 -11.164 181114150
5.270 5.031 -22.055 -11.297 181114150
5.280 5.036 5.577 -11.380 181114150
5.290 5.021 10.939 -11.297 181114150
5.300 5.001 -5.100 -11.268 181114150
5.310 5.011 -0.289 -11.295 181114150
5.320 4.996 13.901 -11.227 181114150
5.330 5.081 -24.897 -11.282 181114150
5.340 5.027 -0.302 -11.408 181114150
5.350 5.006 -0.334 -11.411 181114150
5.360 5.037 -7.215 -11.449 181114150
5.370 5.005 -4.102 -11.505 181114150
5.380 4.973 8.893 -11.481 181114150
5.390 5.051 -32.269 -11.598 181114150
5.400 4.976 -1.119 -11.765 181114150
5.410 4.980 0.707 -11.767 181114150
5.420 5.007 3.308 -11.747 181114150
5.430 4.964 -15.406 -11.808 181114150
5.440 4.973 -0.673 -11.888 181114150
5.450 5.002 -12.792 -11.955 181114150
