# Trace with new flow correction algorithm (check git log on this file, the
# flow correction algorithm was added in the same commit).
#
# Demonstrates moderate flow drift, which we correct.
#
# $ pio run -t upload && utils/controller_debug.py -c 'set gui_mode 1' && \
#   utils/controller_debug.py -c 'trace start volume uncorrected_volume flow_correction' && \
#   sleep 60 && \
#   utils/controller_debug.py -c 'trace graph'
#
# Note that the blower was hardcoded to 75% power for this experiment (so I
# didn't wake up my housemates).  I haven't observed that this makes a
# difference.

time(sec)	volume	uncorrected_volume	flow_correction
3.350	275.580	1370.222	-18.354
3.360	275.942	1370.768	-18.354
3.370	276.282	1371.292	-18.354
3.380	275.964	1371.157	-18.354
3.390	275.623	1371.000	-18.354
3.400	275.792	1371.352	-18.354
3.410	276.038	1371.781	-18.354
3.420	276.304	1372.231	-18.354
3.430	276.528	1372.639	-18.354
3.440	275.963	1372.257	-18.354
3.450	275.370	1371.848	-18.354
3.460	275.098	1371.760	-18.354
3.470	274.808	1371.653	-18.354
3.480	274.552	1371.580	-18.354
3.490	274.342	1371.554	-18.354
3.500	274.163	1371.558	-18.354
3.510	273.963	1371.542	-18.354
3.520	273.857	1371.620	-18.354
3.530	273.747	1371.693	-18.354
3.540	273.594	1371.723	-18.354
3.550	273.764	1372.077	-18.354
3.560	273.951	1372.448	-18.354
3.570	274.149	1372.829	-18.354
3.580	274.320	1373.184	-18.354
3.590	274.320	1373.368	-18.354
3.600	274.317	1373.548	-18.354
3.610	274.238	1373.652	-18.354
3.620	274.195	1373.793	-18.354
3.630	274.068	1373.849	-18.354
3.640	273.793	1373.758	-18.354
3.650	273.279	1373.427	-18.354
3.660	272.702	1373.034	-18.354
3.670	272.461	1372.977	-18.354
3.680	272.322	1373.022	-18.354
3.690	272.014	1372.897	-18.354
3.700	271.748	1372.815	-18.354
3.710	271.646	1372.896	-18.354
3.720	271.470	1372.904	-18.354
3.730	271.424	1373.041	-18.354
3.740	271.484	1373.285	-18.354
3.750	271.268	1373.253	-18.354
3.760	270.814	1372.982	-18.354
3.770	270.598	1372.949	-18.354
3.780	270.534	1373.069	-18.354
3.790	269.747	1372.465	-18.354
3.800	266.889	1369.791	-18.354
3.810	260.708	1363.793	-18.354
3.820	252.367	1355.636	-18.354
3.830	243.658	1347.110	-18.354
3.840	234.428	1338.064	-18.354
3.850	224.679	1328.499	-18.354
3.860	215.133	1319.136	-18.354
3.870	206.108	1310.294	-18.354
3.880	197.590	1301.960	-18.354
3.890	189.414	1293.968	-18.354
3.900	181.475	1286.212	-18.354
3.910	173.750	1278.670	-18.354
3.920	166.134	1271.239	-18.354
3.930	158.321	1263.609	-18.354
3.940	150.660	1256.131	-18.354
3.950	143.392	1249.047	-18.354
3.960	136.305	1242.144	-18.354
3.970	129.433	1235.455	-18.354
3.980	122.771	1228.976	-18.354
3.990	116.236	1222.625	-18.354
4.000	109.820	1216.392	-18.354
4.010	103.601	1210.357	-18.354
4.020	97.541	1204.481	-18.354
4.030	91.533	1198.656	-18.354
4.040	85.658	1192.965	-18.354
4.050	80.007	1187.498	-18.354
4.060	74.508	1182.182	-18.354
4.070	69.197	1177.054	-18.354
4.080	64.119	1172.161	-18.354
4.090	59.138	1167.363	-18.354
4.100	54.472	1162.880	-18.354
4.110	50.036	1158.628	-18.354
4.120	45.782	1154.558	-18.354
4.130	42.062	1151.020	-18.354
4.140	38.931	1148.073	-18.354
4.150	36.495	1145.821	-18.354
4.160	34.571	1144.081	-18.354
4.170	32.838	1142.531	-18.354
4.180	31.159	1141.036	-18.354
4.190	29.528	1139.588	-18.354
4.200	28.023	1138.267	-18.354
4.210	26.595	1137.022	-18.354
4.220	25.237	1135.847	-18.354
4.230	23.858	1134.652	-18.354
4.240	22.504	1133.482	-18.354
4.250	21.236	1132.398	-18.354
4.260	20.033	1131.378	-18.354
4.270	19.009	1130.538	-18.354
4.280	18.098	1129.810	-18.354
4.290	17.273	1129.168	-18.354
4.300	16.592	1128.670	-18.354
4.310	16.048	1128.311	-18.354
4.320	15.596	1128.042	-18.354
4.330	15.166	1127.795	-18.354
4.340	14.825	1127.638	-18.354
4.350	14.559	1127.555	-18.354
4.360	14.228	1127.408	-18.354
4.370	13.894	1127.257	-18.354
4.380	13.645	1127.193	-18.354
4.390	13.492	1127.223	-18.354
4.400	13.250	1127.164	-18.354
4.410	13.049	1127.146	-18.354
4.420	12.985	1127.266	-18.354
4.430	12.841	1127.306	-18.354
4.440	12.600	1127.248	-18.354
4.450	12.394	1127.226	-18.354
4.460	12.283	1127.298	-18.354
4.470	12.209	1127.408	-18.354
4.480	12.145	1127.527	-18.354
4.490	12.054	1127.620	-18.354
4.500	11.937	1127.687	-18.354
4.510	11.813	1127.746	-18.354
4.520	11.696	1127.813	-18.354
4.530	11.627	1127.927	-18.354
4.540	11.625	1128.109	-18.354
4.550	11.518	1128.185	-18.354
4.560	11.337	1128.188	-18.354
4.570	11.222	1128.256	-18.354
4.580	11.117	1128.335	-18.354
4.590	11.017	1128.418	-18.354
4.600	10.895	1128.480	-18.354
4.610	10.735	1128.503	-18.354
4.620	10.533	1128.484	-18.354
4.630	10.337	1128.473	-18.354
4.640	10.231	1128.550	-18.354
4.650	10.155	1128.658	-18.354
4.660	9.987	1128.673	-18.354
4.670	9.823	1128.692	-18.354
4.680	9.673	1128.726	-18.354
4.690	9.433	1128.669	-18.354
4.700	9.238	1128.659	-18.354
4.710	9.114	1128.718	-18.354
4.720	9.028	1128.815	-18.354
4.730	8.992	1128.963	-18.354
4.740	8.929	1129.083	-18.354
4.750	8.842	1129.179	-18.354
4.760	8.760	1129.282	-18.354
4.770	8.671	1129.376	-18.354
4.780	8.596	1129.484	-18.354
4.790	8.490	1129.562	-18.354
4.800	8.422	1129.678	-18.354
4.810	8.440	1129.879	-18.354
4.820	8.501	1130.124	-18.354
4.830	8.610	1130.417	-18.354
4.840	8.695	1130.684	-18.354
4.850	8.819	1130.993	-18.354
4.860	8.910	1131.267	-18.354
4.870	8.911	1131.451	-18.354
4.880	8.883	1131.606	-18.354
4.890	8.888	1131.796	-18.354
4.900	8.967	1132.058	-18.354
4.910	9.072	1132.347	-18.354
4.920	9.102	1132.560	-18.354
4.930	9.074	1132.715	-18.354
4.940	9.073	1132.898	-18.354
4.950	9.052	1133.060	-18.354
4.960	9.046	1133.238	-18.354
4.970	8.908	1133.283	-18.354
4.980	8.694	1133.253	-18.354
4.990	8.684	1133.426	-18.354
5.000	8.707	1133.633	-18.354
5.010	8.692	1133.802	-18.354
5.020	8.773	1134.066	-18.354
5.030	8.843	1134.320	-18.354
5.040	8.866	1134.526	-18.354
5.050	8.878	1134.722	-18.354
5.060	8.865	1134.892	-18.354
5.070	8.876	1135.086	-18.354
5.080	8.868	1135.262	-18.354
5.090	8.886	1135.464	-18.354
5.100	8.984	1135.745	-18.354
5.110	9.023	1135.968	-18.354
5.120	9.013	1136.141	-18.354
5.130	9.014	1136.326	-18.354
5.140	9.041	1136.536	-18.354
5.150	9.102	1136.781	-18.354
5.160	9.145	1137.007	-18.354
5.170	9.134	1137.180	-18.354
5.180	9.102	1137.332	-18.354
5.190	9.069	1137.482	-18.354
5.200	9.072	1137.669	-18.354
5.210	9.082	1137.862	-18.354
5.220	9.131	1138.095	-18.354
5.230	9.190	1138.337	-18.354
5.240	9.152	1138.483	-18.354
5.250	9.159	1138.673	-18.354
5.260	9.203	1138.901	-18.354
5.270	9.215	1139.097	-18.354
5.280	9.156	1139.221	-18.354
5.290	9.103	1139.352	-18.354
5.300	9.124	1139.557	-18.354
5.310	9.227	1139.842	-18.354
5.320	9.341	1140.140	-18.354
5.330	9.365	1140.348	-18.354
5.340	9.347	1140.513	-18.354
5.350	9.311	1140.661	-18.354
5.360	9.236	1140.770	-18.354
5.370	9.207	1140.924	-18.354
5.380	9.326	1141.226	-18.354
5.390	9.451	1141.535	-18.354
5.400	9.510	1141.777	-18.354
5.410	9.530	1141.981	-18.354
5.420	9.511	1142.146	-18.354
5.430	9.458	1142.276	-18.354
5.440	9.375	1142.376	-18.354
5.450	9.363	1142.548	-18.354
5.460	9.382	1142.751	-18.354
5.470	9.431	1142.983	-18.354
5.480	9.530	1143.266	-18.354
5.490	9.532	1143.452	-18.354
5.500	9.510	1143.613	-18.354
5.510	9.520	1143.806	-18.354
5.520	9.540	1144.009	-18.354
5.530	9.558	1144.212	-18.354
5.540	9.498	1144.335	-18.354
5.550	9.427	1144.447	-18.354
5.560	9.438	1144.641	-18.354
5.570	9.396	1144.784	-18.354
5.580	9.350	1144.921	-18.354
5.590	9.394	1145.148	-18.354
5.600	9.442	1145.380	-18.354
5.610	9.386	1145.508	-18.354
5.620	9.257	1145.562	-18.354
5.630	9.166	1145.655	-18.354
5.640	9.090	1145.763	-18.354
5.650	9.024	1145.880	-18.354
5.660	8.959	1145.998	-18.354
5.670	8.981	1146.204	-18.354
5.680	9.025	1146.432	-18.354
5.690	8.971	1146.561	-18.354
5.700	8.886	1146.659	-18.354
5.710	8.806	1146.763	-18.354
5.720	8.713	1146.854	-18.354
5.730	8.589	1146.913	-18.354
5.740	8.526	1147.034	-18.354
5.750	8.448	1147.139	-18.354
5.760	8.410	1147.284	-18.354
5.770	8.461	1147.519	-18.354
5.780	8.418	1147.660	-18.354
5.790	8.344	1147.770	-18.354
5.800	8.258	1147.867	-18.354
5.810	8.148	1147.940	-18.354
5.820	8.085	1148.062	-18.354
5.830	8.052	1148.212	-18.354
5.840	7.977	1148.321	-18.354
5.850	7.871	1148.397	-18.354
5.860	7.747	1148.458	-18.354
5.870	7.653	1148.547	-18.354
5.880	7.639	1148.717	-18.354
5.890	7.530	1148.791	-18.354
5.900	7.329	1148.773	-18.354
5.910	7.145	1148.773	-18.354
5.920	7.021	1148.833	-18.354
5.930	7.040	1149.036	-18.354
5.940	6.934	1149.113	-18.354
5.950	6.773	1149.135	-18.354
5.960	6.768	1149.314	-18.354
5.970	6.695	1149.424	-18.354
5.980	6.515	1149.427	-18.354
5.990	6.351	1149.447	-18.354
6.000	6.255	1149.535	-18.354
6.010	6.142	1149.606	-18.354
6.020	5.997	1149.644	-18.354
6.030	5.855	1149.686	-18.354
6.040	5.729	1149.743	-18.354
6.050	5.714	1149.912	-18.354
6.060	5.699	1150.080	-18.354
6.070	5.592	1150.157	-18.354
6.080	5.563	1150.311	-18.354
6.090	5.533	1150.465	-18.354
6.100	5.516	1150.632	-18.354
6.110	5.536	1150.834	-18.354
6.120	5.510	1150.992	-18.354
6.130	5.512	1151.177	-18.354
6.140	5.537	1151.386	-18.354
6.150	5.648	1151.680	-18.354
6.160	5.760	1151.977	-18.354
6.170	5.763	1152.163	-18.354
6.180	5.724	1152.307	-20.762
6.190	5.679	1152.458	-20.762
6.200	5.843	1152.829	-20.762
6.210	6.419	1153.614	-20.762
6.220	7.441	1154.843	-20.762
6.230	10.054	1157.663	-20.762
6.240	15.650	1163.467	-20.762
6.250	22.734	1170.759	-20.762
6.260	28.795	1177.028	-20.762
6.270	34.288	1182.728	-20.762
6.280	41.135	1189.783	-20.762
6.290	49.729	1198.584	-20.762
6.300	58.771	1207.834	-20.762
6.310	67.508	1216.778	-20.762
6.320	76.117	1225.595	-20.762
6.330	83.966	1233.652	-20.762
6.340	90.795	1240.689	-20.762
6.350	97.678	1247.780	-20.762
6.360	104.567	1254.875	-20.762
6.370	111.498	1262.015	-20.762
6.380	118.496	1269.220	-20.762
6.390	124.795	1275.726	-20.762
6.400	129.918	1281.057	-20.762
6.410	134.373	1285.720	-20.762
6.420	138.743	1290.297	-20.762
6.430	143.211	1294.973	-20.762
6.440	147.630	1299.600	-20.762
6.450	152.056	1304.234	-20.762
6.460	156.002	1308.387	-20.762
6.470	159.117	1311.710	-20.762
6.480	162.840	1315.641	-20.762
6.490	166.586	1319.594	-20.762
6.500	169.900	1323.115	-20.762
6.510	173.548	1326.971	-20.762
6.520	177.294	1330.925	-20.762
6.530	181.130	1334.968	-20.762
6.540	184.239	1338.285	-20.762
6.550	187.097	1341.350	-20.762
6.560	190.786	1345.247	-20.762
6.570	193.926	1348.595	-20.762
6.580	196.319	1351.195	-20.762
6.590	199.231	1354.315	-20.762
6.600	202.679	1357.971	-20.762
6.610	205.538	1361.037	-20.762
6.620	207.466	1363.173	-20.762
6.630	209.808	1365.722	-20.762
6.640	212.873	1368.995	-20.762
6.650	215.765	1372.095	-20.762
6.660	218.452	1374.990	-20.762
6.670	220.995	1377.740	-20.762
6.680	222.920	1379.873	-20.762
6.690	224.364	1381.524	-20.762
6.700	226.422	1383.790	-20.762
6.710	228.527	1386.102	-20.762
6.720	230.306	1388.089	-20.762
6.730	231.876	1389.867	-20.762
6.740	233.198	1391.396	-20.762
6.750	234.786	1393.192	-20.762
6.760	236.139	1394.752	-20.762
6.770	237.251	1396.072	-20.762
6.780	238.759	1397.788	-20.762
6.790	240.417	1399.654	-20.762
6.800	241.700	1401.143	-20.762
6.810	243.464	1403.115	-20.762
6.820	245.898	1405.757	-20.762
6.830	247.359	1407.426	-20.762
6.840	248.414	1408.688	-20.762
6.850	249.414	1409.896	-20.762
6.860	250.620	1411.310	-20.762
6.870	252.518	1413.416	-20.762
6.880	253.652	1414.756	-20.762
6.890	254.817	1416.130	-20.762
6.900	256.104	1417.624	-20.762
6.910	256.745	1418.473	-20.762
6.920	257.649	1419.584	-20.762
6.930	258.480	1420.622	-20.762
6.940	259.000	1421.350	-20.762
6.950	259.980	1422.539	-20.762
6.960	261.296	1424.062	-20.762
6.970	262.247	1425.220	-20.762
6.980	263.308	1426.489	-20.762
6.990	264.949	1428.337	-20.762
7.000	266.436	1430.032	-20.762
7.010	267.417	1431.221	-20.762
7.020	268.567	1432.579	-20.762
7.030	269.976	1434.195	-20.762
7.040	270.979	1435.406	-20.762
7.050	272.007	1436.641	-20.762
7.060	273.482	1438.324	-20.762
7.070	274.380	1439.429	-20.762
7.080	274.736	1439.994	-20.762
7.090	275.058	1440.523	-20.762
7.100	275.465	1441.137	-20.762
7.110	275.694	1441.574	-20.762
7.120	275.582	1441.670	-20.762
7.130	276.126	1442.421	-20.762
7.140	276.114	1442.617	-20.762
7.150	275.920	1442.630	-20.762
7.160	276.239	1443.157	-20.762
7.170	276.281	1443.407	-20.762
7.180	276.516	1443.849	-20.762
7.190	276.426	1443.967	-20.762
7.200	275.582	1443.330	-20.762
7.210	275.103	1443.059	-20.762
7.220	275.128	1443.292	-20.762
7.230	275.078	1443.450	-20.762
7.240	274.866	1443.445	-20.762
7.250	274.158	1442.945	-20.762
7.260	274.054	1443.048	-20.762
7.270	274.287	1443.490	-20.762
7.280	274.213	1443.622	-20.762
7.290	274.140	1443.757	-20.762
7.300	274.092	1443.917	-20.762
7.310	274.270	1444.303	-20.762
7.320	274.188	1444.428	-20.762
