# Captured 2020-06-21 06:10:07.683769 by unknown user
# Built at revision a5513db (dirty)
time(sec)  pc_setpoint  pressure  net_flow  net_flow
3.600  10.000  10.137  16.931  16.931
3.610  10.000  10.004  10.151  10.151
3.620  10.000  10.099  20.942  20.942
3.630  10.000  10.204  -10.747  -10.747
3.640  10.000  10.163  13.426  13.426
3.650  10.000  10.051  6.989  6.989
3.660  10.000  10.059  14.518  14.518
3.670  10.000  9.979  -0.320  -0.320
3.680  10.000  10.079  -5.362  -5.362
3.690  10.000  10.098  6.075  6.075
3.700  10.000  10.031  9.607  9.607
3.710  10.000  9.957  4.655  4.655
3.720  10.000  10.067  -13.141  -13.141
3.730  10.000  10.091  -1.792  -1.792
3.740  10.000  10.159  -4.558  -4.558
3.750  10.000  10.000  -16.005  -16.005
3.760  10.000  10.016  -4.246  -4.246
3.770  10.000  9.904  2.266  2.266
3.780  10.000  10.028  -1.070  -1.070
3.790  10.000  10.026  -5.707  -5.707
3.800  10.000  9.983  -0.872  -0.872
3.810  10.000  10.088  1.580  1.580
3.820  10.000  9.895  -7.403  -7.403
3.830  10.000  9.951  -12.196  -12.196
3.840  10.000  10.019  -10.243  -10.243
3.850  10.000  10.023  -9.345  -9.345
3.860  10.000  9.961  -7.408  -7.408
3.870  10.000  9.936  7.291  7.291
3.880  10.000  9.909  -20.780  -20.780
3.890  10.000  10.058  -13.178  -13.178
3.900  10.000  9.925  -10.152  -10.152
3.910  10.000  9.889  6.330  6.330
3.920  10.000  9.913  -24.254  -24.254
3.930  10.000  9.843  -4.925  -4.925
3.940  10.000  9.808  6.350  6.350
3.950  10.000  9.944  -11.859  -11.859
3.960  10.000  9.920  11.434  11.434
3.970  10.000  9.850  -8.599  -8.599
3.980  10.000  9.908  -2.399  -2.399
3.990  10.000  9.941  -6.335  -6.335
4.000  10.000  9.892  6.022  6.022
4.010  10.000  9.903  -3.317  -3.317
4.020  10.000  9.953  -14.375  -14.375
4.030  10.000  9.987  7.812  7.812
4.040  10.000  9.971  13.710  13.710
4.050  10.000  9.729  43.635  43.635
4.060  10.000  9.934  16.981  16.981
4.070  10.000  9.900  43.963  43.963
4.080  10.000  10.167  13.469  13.469
4.090  10.000  9.964  31.936  31.936
4.100  10.000  10.124  3.441  3.441
4.110  10.000  9.980  33.468  33.468
4.120  10.000  10.039  20.912  20.912
4.130  10.000  10.056  26.750  26.750
4.140  10.000  10.008  20.407  20.407
4.150  10.000  10.051  27.162  27.162
4.160  10.000  10.148  18.162  18.162
4.170  10.000  10.094  40.397  40.397
4.180  10.000  9.982  20.864  20.864
4.190  10.000  10.138  36.393  36.393
4.200  10.000  10.118  24.113  24.113
4.210  10.000  10.197  32.341  32.341
4.220  10.000  10.106  25.638  25.638
4.230  10.000  10.019  23.694  23.694
4.240  10.000  10.283  9.624  9.624
4.250  10.000  10.233  21.473  21.473
4.260  10.000  10.168  29.756  29.756
4.270  10.000  10.119  22.531  22.531
4.280  10.000  10.115  25.064  25.064
4.290  10.000  10.098  42.160  42.160
4.300  10.000  10.151  30.751  30.751
4.310  10.000  10.170  21.045  21.045
4.320  10.000  10.235  0.367  0.367
4.330  10.000  10.141  11.866  11.866
4.340  10.000  10.070  5.213  5.213
4.350  10.000  9.981  -3.512  -3.512
4.360  10.000  10.108  -5.605  -5.605
4.370  10.000  10.227  -12.973  -12.973
4.380  10.000  10.177  -2.813  -2.813
4.390  10.000  9.917  10.136  10.136
4.400  10.000  10.152  -23.339  -23.339
4.410  10.000  10.082  -24.621  -24.621
4.420  10.000  10.073  -21.233  -21.233
4.430  10.000  10.016  -20.851  -20.851
4.440  10.000  10.009  -18.731  -18.731
4.450  10.000  9.996  -13.319  -13.319
4.460  10.000  10.016  -16.112  -16.112
