# covent_pc_1
# Captured 2020-07-03 20:38:13.786288 by unknown user
# Built at revision a9175b3 (dirty)
time(sec) pc_setpoint pressure dp_inhale dp_exhale cmd_inh_valve cmd_exh_valve cmd_psol
2.030 15.000 1.146 15.916 0.853 0.939 0.111 0.000
2.040 15.000 1.308 18.892 1.664 0.949 0.106 0.000
2.050 15.000 1.233 21.154 1.296 0.976 0.091 0.000
2.060 15.000 1.265 20.305 0.854 0.995 0.080 0.000
2.070 15.000 1.448 21.076 1.480 0.990 0.083 0.000
2.080 15.000 1.385 22.625 0.966 1.000 0.077 0.000
2.090 15.000 1.502 19.451 1.199 0.993 0.081 0.000
2.100 15.000 1.477 22.127 0.919 0.994 0.081 0.000
2.110 15.000 1.496 23.295 0.860 0.990 0.083 0.000
2.120 15.000 1.459 21.517 0.407 0.993 0.081 0.000
2.130 15.000 1.498 21.560 0.478 0.989 0.084 0.000
2.140 15.000 1.504 20.450 0.898 0.985 0.086 0.000
2.150 15.000 1.564 21.853 0.917 0.974 0.092 0.000
2.160 15.000 1.558 21.681 0.922 0.965 0.097 0.000
2.170 15.000 1.550 20.071 1.239 0.957 0.101 0.000
2.180 15.000 1.566 22.243 1.327 0.947 0.107 0.000
2.190 15.000 1.582 20.621 1.317 0.936 0.113 0.000
2.200 15.000 1.548 23.420 0.734 0.929 0.116 0.000
2.210 15.000 1.502 18.957 0.835 0.928 0.117 0.000
2.220 15.000 1.539 18.739 1.416 0.920 0.122 0.000
2.230 15.000 1.562 19.962 1.164 0.910 0.127 0.000
2.240 15.000 1.550 19.311 1.137 0.902 0.131 0.000
2.250 15.000 1.569 19.438 1.140 0.892 0.137 0.000
2.260 15.000 1.551 18.658 1.083 0.884 0.141 0.000
2.270 15.000 1.532 16.238 1.223 0.879 0.144 0.000
2.280 15.000 1.488 15.954 1.301 0.879 0.144 0.000
2.290 15.000 1.435 15.248 0.824 0.885 0.141 0.000
2.300 15.000 1.542 15.392 1.374 0.874 0.147 0.000
2.310 15.000 1.485 13.664 0.895 0.874 0.147 0.000
2.320 15.000 1.589 15.654 1.443 0.858 0.155 0.000
2.330 15.000 1.597 13.811 1.520 0.846 0.162 0.000
2.340 15.000 1.627 12.327 1.768 0.829 0.172 0.000
2.350 15.000 1.527 13.126 1.476 0.827 0.173 0.000
2.360 15.000 1.490 11.883 1.239 0.827 0.173 0.000
2.370 15.000 1.528 11.173 1.537 0.819 0.177 0.000
2.380 15.000 1.543 11.552 1.414 0.812 0.181 0.000
2.390 15.000 1.484 10.815 1.149 0.813 0.180 0.000
2.400 15.000 1.557 10.790 1.586 0.801 0.187 0.000
2.410 15.000 1.503 10.611 1.285 0.800 0.187 0.000
2.420 15.000 1.529 10.097 1.535 0.793 0.191 0.000
2.430 15.000 1.531 9.806 1.671 0.787 0.194 0.000
2.440 15.000 1.510 10.486 1.357 0.784 0.196 0.000
2.450 15.000 1.540 8.553 1.594 0.776 0.201 0.000
2.460 15.000 1.539 9.813 1.822 0.769 0.204 0.000
2.470 15.000 1.520 8.509 1.506 0.765 0.207 0.000
2.480 15.000 1.544 8.057 1.981 0.757 0.211 0.000
2.490 15.000 1.512 8.427 1.902 0.754 0.213 0.000
2.500 15.000 1.572 8.113 2.161 0.742 0.220 0.000
2.510 15.000 1.501 8.145 1.813 0.742 0.220 0.000
2.520 15.000 1.567 8.332 2.175 0.729 0.226 0.000
2.530 15.000 1.555 7.564 2.173 0.721 0.231 0.000
2.540 15.000 1.530 7.059 2.235 0.716 0.233 0.000
2.550 15.000 1.533 6.755 2.331 0.710 0.237 0.000
